"Season","raw_cpue_median","raw_cpue_mean","raw_cpue_sd","std_cpue"
"2009/10",552.3,576.7,264.6,568.347902498208
"2010/11",566.7,607.5,254.7,519.473791194122
"2011/12",508.3,516.8,203.8,501.943476284764
"2012/13",465.9,487.9,224.6,476.804319634331
"2013/14",593.9,609.5,267.7,601.179025419467
"2014/15",473.9,483.2,213.3,417.734914874981
"2015/16",638.4,658.3,247.8,603.058723488037
"2016/17",644.8,725.8,337.8,495.218377983981
"2017/18",594.9,626.4,286.7,630.18234527552
"2018/19",767.2,824.8,369,725.462510965468
