"Season","ghl","n_vessels","mt_wt","rnd_wt","dredge_hrs","mt_cpue","rnd_cpue","meat_disc_mort_lbs"
"1993/94",NA,NA,155187,NA,6940,22.36123919,NA,NA
"1994/95",NA,NA,35207,NA,1773,19.857304,NA,NA
"1995/96",NA,NA,NA,NA,NA,NA,NA,NA
"1996/97",NA,3,11430,NA,581,19.67297762,NA,NA
"1997/98",NA,3,95858,NA,2604.37,36.80664524,NA,NA
"1998/99",NA,4,120010,NA,2747,43.68765926,NA,NA
"1999/00",75000,3,77119,NA,1384,55.72182081,NA,NA
"2000/01",80000,4,79965,NA,1101,72.62942779,NA,NA
"2001/02",80000,3,80470,NA,1142,70.46409807,NA,NA
"2002/03",80000,2,80000,NA,1350,59.25925926,NA,NA
"2003/04",80000,2,79965,NA,1247.68,64.09078158,NA,NA
"2004/05",80000,2,80105,NA,1226.67,65.30298913,NA,NA
"2005/06",80000,3,79990,NA,1758.7,45.48245863,NA,NA
"2006/07",90000,2,75150,NA,1167.67,64.35912075,NA,NA
"2007/08",90000,2,75105,NA,1169.67,64.21060131,NA,NA
"2008/09",90000,3,74863,NA,1363,54.92516508,NA,NA
"2009/10",75000,1,69409.83,831708.6,1221.67,56.8155311990963,680.796450760025,2396.48742293907
"2010/11",65000,3,64475.04,672246,1015.16,63.5121951219512,662.206942747941,1443.83545243619
"2011/12",70000,4,61209.11,667008.1,986.03,62.0763161364259,676.458221352292,1733.75928483354
"2012/13",60000,4,62495.85,749643.6,1321.71,47.2840865242754,567.177066073496,1895.21770458795
"2013/14",55000,4,54926.1,526155.9,934.46,58.7784388844894,563.05877191105,1257.18256324035
"2014/15",55000,3,55658.93,667962.1,752.15,73.9997739812537,888.070331715748,1060.40626905339
"2015/16",55000,3,55577.04,568543.4,1227.88,45.2625989510376,463.028471837639,1667.96941638315
"2016/17",55000,2,24401.09,196938.8,1095.24,22.2792173404916,179.81337423761,537.853448394891
"2017/18",55000,1,14190.02,136295.1,348.75,40.688229390681,390.810322580645,418.337222870478
"2018/19",15000,1,15209.86,155333.6,262.16,58.0174702471773,592.514494964907,1156.1111160221
